Hour,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
5412,0,386,773,1159,1545,1932,2318,2705,3091,3477,3864,4250,4636,5023,5409,5795,6182,6568,6955,7341,7727,8114,8500,8886,9273,9659,10045,10432,10818,11205,11591,11977,12364,12750,13136,13523
5413,0,386,773,1159,1545,1932,2318,2705,3091,3477,3864,4250,4636,5023,5409,5795,6182,6568,6955,7341,7727,8114,8500,8886,9273,9659,10045,10432,10818,11205,11591,11977,12364,12750,13136,13523
5414,0,386,773,1159,1545,1932,2318,2705,3091,3477,3864,4250,4636,5023,5409,5795,6182,6568,6955,7341,7727,8114,8500,8886,9273,9659,10045,10432,10818,11205,11591,11977,12364,12750,13136,13523
5415,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
5416,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
5417,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
5418,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
5419,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
5420,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
5421,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
5422,0,405,809,1214,1618,2023,2427,2832,3236,3641,4045,4450,4855,5259,5664,6068,6473,6877,7282,7686,8091,8495,8900,9305,9709,10114,10518,10923,11327,11732,12136,12541,12945,13350,13755,14159
5423,0,641,1282,1923,2564,3205,3845,4486,5127,5768,6409,7050,7691,8332,8973,9614,10255,10895,11536,12177,12818,13459,14100,14741,15382,16023,16664,17305,17945,18586,19227,19868,20509,21150,21791,22432
5424,0,641,1282,1923,2564,3205,3845,4486,5127,5768,6409,7050,7691,8332,8973,9614,10255,10895,11536,12177,12818,13459,14100,14741,15382,16023,16664,17305,17945,18586,19227,19868,20509,21150,21791,22432
5425,0,641,1282,1923,2564,3205,3845,4486,5127,5768,6409,7050,7691,8332,8973,9614,10255,10895,11536,12177,12818,13459,14100,14741,15382,16023,16664,17305,17945,18586,19227,19868,20509,21150,21791,22432
5426,0,641,1282,1923,2564,3205,3845,4486,5127,5768,6409,7050,7691,8332,8973,9614,10255,10895,11536,12177,12818,13459,14100,14741,15382,16023,16664,17305,17945,18586,19227,19868,20509,21150,21791,22432
5427,0,641,1282,1923,2564,3205,3845,4486,5127,5768,6409,7050,7691,8332,8973,9614,10255,10895,11536,12177,12818,13459,14100,14741,15382,16023,16664,17305,17945,18586,19227,19868,20509,21150,21791,22432
5428,0,641,1282,1923,2564,3205,3845,4486,5127,5768,6409,7050,7691,8332,8973,9614,10255,10895,11536,12177,12818,13459,14100,14741,15382,16023,16664,17305,17945,18586,19227,19868,20509,21150,21791,22432
5429,0,641,1282,1923,2564,3205,3845,4486,5127,5768,6409,7050,7691,8332,8973,9614,10255,10895,11536,12177,12818,13459,14100,14741,15382,16023,16664,17305,17945,18586,19227,19868,20509,21150,21791,22432
5430,0,355,709,1064,1418,1773,2127,2482,2836,3191,3545,3900,4255,4609,4964,5318,5673,6027,6382,6736,7091,7445,7800,8155,8509,8864,9218,9573,9927,10282,10636,10991,11345,11700,12055,12409
5431,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
5432,0,355,709,1064,1418,1773,2127,2482,2836,3191,3545,3900,4255,4609,4964,5318,5673,6027,6382,6736,7091,7445,7800,8155,8509,8864,9218,9573,9927,10282,10636,10991,11345,11700,12055,12409
5433,0,641,1282,1923,2564,3205,3845,4486,5127,5768,6409,7050,7691,8332,8973,9614,10255,10895,11536,12177,12818,13459,14100,14741,15382,16023,16664,17305,17945,18586,19227,19868,20509,21150,21791,22432
5434,0,641,1282,1923,2564,3205,3845,4486,5127,5768,6409,7050,7691,8332,8973,9614,10255,10895,11536,12177,12818,13459,14100,14741,15382,16023,16664,17305,17945,18586,19227,19868,20509,21150,21791,22432
5435,0,386,773,1159,1545,1932,2318,2705,3091,3477,3864,4250,4636,5023,5409,5795,6182,6568,6955,7341,7727,8114,8500,8886,9273,9659,10045,10432,10818,11205,11591,11977,12364,12750,13136,13523
5436,0,386,773,1159,1545,1932,2318,2705,3091,3477,3864,4250,4636,5023,5409,5795,6182,6568,6955,7341,7727,8114,8500,8886,9273,9659,10045,10432,10818,11205,11591,11977,12364,12750,13136,13523
5437,0,386,773,1159,1545,1932,2318,2705,3091,3477,3864,4250,4636,5023,5409,5795,6182,6568,6955,7341,7727,8114,8500,8886,9273,9659,10045,10432,10818,11205,11591,11977,12364,12750,13136,13523
5438,0,386,773,1159,1545,1932,2318,2705,3091,3477,3864,4250,4636,5023,5409,5795,6182,6568,6955,7341,7727,8114,8500,8886,9273,9659,10045,10432,10818,11205,11591,11977,12364,12750,13136,13523
5439,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
5440,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
5441,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
5442,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
5443,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
5444,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
5445,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
5446,0,405,809,1214,1618,2023,2427,2832,3236,3641,4045,4450,4855,5259,5664,6068,6473,6877,7282,7686,8091,8495,8900,9305,9709,10114,10518,10923,11327,11732,12136,12541,12945,13350,13755,14159
5447,0,641,1282,1923,2564,3205,3845,4486,5127,5768,6409,7050,7691,8332,8973,9614,10255,10895,11536,12177,12818,13459,14100,14741,15382,16023,16664,17305,17945,18586,19227,19868,20509,21150,21791,22432
5448,0,641,1282,1923,2564,3205,3845,4486,5127,5768,6409,7050,7691,8332,8973,9614,10255,10895,11536,12177,12818,13459,14100,14741,15382,16023,16664,17305,17945,18586,19227,19868,20509,21150,21791,22432
5449,0,641,1282,1923,2564,3205,3845,4486,5127,5768,6409,7050,7691,8332,8973,9614,10255,10895,11536,12177,12818,13459,14100,14741,15382,16023,16664,17305,17945,18586,19227,19868,20509,21150,21791,22432
5450,0,641,1282,1923,2564,3205,3845,4486,5127,5768,6409,7050,7691,8332,8973,9614,10255,10895,11536,12177,12818,13459,14100,14741,15382,16023,16664,17305,17945,18586,19227,19868,20509,21150,21791,22432
5451,0,641,1282,1923,2564,3205,3845,4486,5127,5768,6409,7050,7691,8332,8973,9614,10255,10895,11536,12177,12818,13459,14100,14741,15382,16023,16664,17305,17945,18586,19227,19868,20509,21150,21791,22432
5452,0,641,1282,1923,2564,3205,3845,4486,5127,5768,6409,7050,7691,8332,8973,9614,10255,10895,11536,12177,12818,13459,14100,14741,15382,16023,16664,17305,17945,18586,19227,19868,20509,21150,21791,22432
5453,0,641,1282,1923,2564,3205,3845,4486,5127,5768,6409,7050,7691,8332,8973,9614,10255,10895,11536,12177,12818,13459,14100,14741,15382,16023,16664,17305,17945,18586,19227,19868,20509,21150,21791,22432
5454,0,355,709,1064,1418,1773,2127,2482,2836,3191,3545,3900,4255,4609,4964,5318,5673,6027,6382,6736,7091,7445,7800,8155,8509,8864,9218,9573,9927,10282,10636,10991,11345,11700,12055,12409
5455,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
5456,0,355,709,1064,1418,1773,2127,2482,2836,3191,3545,3900,4255,4609,4964,5318,5673,6027,6382,6736,7091,7445,7800,8155,8509,8864,9218,9573,9927,10282,10636,10991,11345,11700,12055,12409
5457,0,641,1282,1923,2564,3205,3845,4486,5127,5768,6409,7050,7691,8332,8973,9614,10255,10895,11536,12177,12818,13459,14100,14741,15382,16023,16664,17305,17945,18586,19227,19868,20509,21150,21791,22432
5458,0,641,1282,1923,2564,3205,3845,4486,5127,5768,6409,7050,7691,8332,8973,9614,10255,10895,11536,12177,12818,13459,14100,14741,15382,16023,16664,17305,17945,18586,19227,19868,20509,21150,21791,22432
5459,0,386,773,1159,1545,1932,2318,2705,3091,3477,3864,4250,4636,5023,5409,5795,6182,6568,6955,7341,7727,8114,8500,8886,9273,9659,10045,10432,10818,11205,11591,11977,12364,12750,13136,13523
5460,0,386,773,1159,1545,1932,2318,2705,3091,3477,3864,4250,4636,5023,5409,5795,6182,6568,6955,7341,7727,8114,8500,8886,9273,9659,10045,10432,10818,11205,11591,11977,12364,12750,13136,13523
5461,0,386,773,1159,1545,1932,2318,2705,3091,3477,3864,4250,4636,5023,5409,5795,6182,6568,6955,7341,7727,8114,8500,8886,9273,9659,10045,10432,10818,11205,11591,11977,12364,12750,13136,13523
5462,0,386,773,1159,1545,1932,2318,2705,3091,3477,3864,4250,4636,5023,5409,5795,6182,6568,6955,7341,7727,8114,8500,8886,9273,9659,10045,10432,10818,11205,11591,11977,12364,12750,13136,13523
5463,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
5464,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
5465,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
5466,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
5467,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
5468,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
5469,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
5470,0,405,809,1214,1618,2023,2427,2832,3236,3641,4045,4450,4855,5259,5664,6068,6473,6877,7282,7686,8091,8495,8900,9305,9709,10114,10518,10923,11327,11732,12136,12541,12945,13350,13755,14159
5471,0,641,1282,1923,2564,3205,3845,4486,5127,5768,6409,7050,7691,8332,8973,9614,10255,10895,11536,12177,12818,13459,14100,14741,15382,16023,16664,17305,17945,18586,19227,19868,20509,21150,21791,22432
5472,0,641,1282,1923,2564,3205,3845,4486,5127,5768,6409,7050,7691,8332,8973,9614,10255,10895,11536,12177,12818,13459,14100,14741,15382,16023,16664,17305,17945,18586,19227,19868,20509,21150,21791,22432
5473,0,641,1282,1923,2564,3205,3845,4486,5127,5768,6409,7050,7691,8332,8973,9614,10255,10895,11536,12177,12818,13459,14100,14741,15382,16023,16664,17305,17945,18586,19227,19868,20509,21150,21791,22432
5474,0,641,1282,1923,2564,3205,3845,4486,5127,5768,6409,7050,7691,8332,8973,9614,10255,10895,11536,12177,12818,13459,14100,14741,15382,16023,16664,17305,17945,18586,19227,19868,20509,21150,21791,22432
5475,0,641,1282,1923,2564,3205,3845,4486,5127,5768,6409,7050,7691,8332,8973,9614,10255,10895,11536,12177,12818,13459,14100,14741,15382,16023,16664,17305,17945,18586,19227,19868,20509,21150,21791,22432
5476,0,641,1282,1923,2564,3205,3845,4486,5127,5768,6409,7050,7691,8332,8973,9614,10255,10895,11536,12177,12818,13459,14100,14741,15382,16023,16664,17305,17945,18586,19227,19868,20509,21150,21791,22432
5477,0,641,1282,1923,2564,3205,3845,4486,5127,5768,6409,7050,7691,8332,8973,9614,10255,10895,11536,12177,12818,13459,14100,14741,15382,16023,16664,17305,17945,18586,19227,19868,20509,21150,21791,22432
5478,0,355,709,1064,1418,1773,2127,2482,2836,3191,3545,3900,4255,4609,4964,5318,5673,6027,6382,6736,7091,7445,7800,8155,8509,8864,9218,9573,9927,10282,10636,10991,11345,11700,12055,12409
5479,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
5480,0,355,709,1064,1418,1773,2127,2482,2836,3191,3545,3900,4255,4609,4964,5318,5673,6027,6382,6736,7091,7445,7800,8155,8509,8864,9218,9573,9927,10282,10636,10991,11345,11700,12055,12409
5481,0,641,1282,1923,2564,3205,3845,4486,5127,5768,6409,7050,7691,8332,8973,9614,10255,10895,11536,12177,12818,13459,14100,14741,15382,16023,16664,17305,17945,18586,19227,19868,20509,21150,21791,22432
5482,0,641,1282,1923,2564,3205,3845,4486,5127,5768,6409,7050,7691,8332,8973,9614,10255,10895,11536,12177,12818,13459,14100,14741,15382,16023,16664,17305,17945,18586,19227,19868,20509,21150,21791,22432
5483,0,386,773,1159,1545,1932,2318,2705,3091,3477,3864,4250,4636,5023,5409,5795,6182,6568,6955,7341,7727,8114,8500,8886,9273,9659,10045,10432,10818,11205,11591,11977,12364,12750,13136,13523
5484,0,386,773,1159,1545,1932,2318,2705,3091,3477,3864,4250,4636,5023,5409,5795,6182,6568,6955,7341,7727,8114,8500,8886,9273,9659,10045,10432,10818,11205,11591,11977,12364,12750,13136,13523
5485,0,386,773,1159,1545,1932,2318,2705,3091,3477,3864,4250,4636,5023,5409,5795,6182,6568,6955,7341,7727,8114,8500,8886,9273,9659,10045,10432,10818,11205,11591,11977,12364,12750,13136,13523
5486,0,386,773,1159,1545,1932,2318,2705,3091,3477,3864,4250,4636,5023,5409,5795,6182,6568,6955,7341,7727,8114,8500,8886,9273,9659,10045,10432,10818,11205,11591,11977,12364,12750,13136,13523
5487,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
5488,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
5489,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
5490,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
5491,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
5492,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
5493,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
5494,0,405,809,1214,1618,2023,2427,2832,3236,3641,4045,4450,4855,5259,5664,6068,6473,6877,7282,7686,8091,8495,8900,9305,9709,10114,10518,10923,11327,11732,12136,12541,12945,13350,13755,14159
5495,0,641,1282,1923,2564,3205,3845,4486,5127,5768,6409,7050,7691,8332,8973,9614,10255,10895,11536,12177,12818,13459,14100,14741,15382,16023,16664,17305,17945,18586,19227,19868,20509,21150,21791,22432
5496,0,641,1282,1923,2564,3205,3845,4486,5127,5768,6409,7050,7691,8332,8973,9614,10255,10895,11536,12177,12818,13459,14100,14741,15382,16023,16664,17305,17945,18586,19227,19868,20509,21150,21791,22432
5497,0,641,1282,1923,2564,3205,3845,4486,5127,5768,6409,7050,7691,8332,8973,9614,10255,10895,11536,12177,12818,13459,14100,14741,15382,16023,16664,17305,17945,18586,19227,19868,20509,21150,21791,22432
5498,0,641,1282,1923,2564,3205,3845,4486,5127,5768,6409,7050,7691,8332,8973,9614,10255,10895,11536,12177,12818,13459,14100,14741,15382,16023,16664,17305,17945,18586,19227,19868,20509,21150,21791,22432
5499,0,641,1282,1923,2564,3205,3845,4486,5127,5768,6409,7050,7691,8332,8973,9614,10255,10895,11536,12177,12818,13459,14100,14741,15382,16023,16664,17305,17945,18586,19227,19868,20509,21150,21791,22432
5500,0,641,1282,1923,2564,3205,3845,4486,5127,5768,6409,7050,7691,8332,8973,9614,10255,10895,11536,12177,12818,13459,14100,14741,15382,16023,16664,17305,17945,18586,19227,19868,20509,21150,21791,22432
5501,0,641,1282,1923,2564,3205,3845,4486,5127,5768,6409,7050,7691,8332,8973,9614,10255,10895,11536,12177,12818,13459,14100,14741,15382,16023,16664,17305,17945,18586,19227,19868,20509,21150,21791,22432
5502,0,355,709,1064,1418,1773,2127,2482,2836,3191,3545,3900,4255,4609,4964,5318,5673,6027,6382,6736,7091,7445,7800,8155,8509,8864,9218,9573,9927,10282,10636,10991,11345,11700,12055,12409
5503,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
5504,0,355,709,1064,1418,1773,2127,2482,2836,3191,3545,3900,4255,4609,4964,5318,5673,6027,6382,6736,7091,7445,7800,8155,8509,8864,9218,9573,9927,10282,10636,10991,11345,11700,12055,12409
5505,0,641,1282,1923,2564,3205,3845,4486,5127,5768,6409,7050,7691,8332,8973,9614,10255,10895,11536,12177,12818,13459,14100,14741,15382,16023,16664,17305,17945,18586,19227,19868,20509,21150,21791,22432
5506,0,641,1282,1923,2564,3205,3845,4486,5127,5768,6409,7050,7691,8332,8973,9614,10255,10895,11536,12177,12818,13459,14100,14741,15382,16023,16664,17305,17945,18586,19227,19868,20509,21150,21791,22432
5507,0,386,773,1159,1545,1932,2318,2705,3091,3477,3864,4250,4636,5023,5409,5795,6182,6568,6955,7341,7727,8114,8500,8886,9273,9659,10045,10432,10818,11205,11591,11977,12364,12750,13136,13523
5508,0,386,773,1159,1545,1932,2318,2705,3091,3477,3864,4250,4636,5023,5409,5795,6182,6568,6955,7341,7727,8114,8500,8886,9273,9659,10045,10432,10818,11205,11591,11977,12364,12750,13136,13523
5509,0,386,773,1159,1545,1932,2318,2705,3091,3477,3864,4250,4636,5023,5409,5795,6182,6568,6955,7341,7727,8114,8500,8886,9273,9659,10045,10432,10818,11205,11591,11977,12364,12750,13136,13523
5510,0,386,773,1159,1545,1932,2318,2705,3091,3477,3864,4250,4636,5023,5409,5795,6182,6568,6955,7341,7727,8114,8500,8886,9273,9659,10045,10432,10818,11205,11591,11977,12364,12750,13136,13523
5511,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
5512,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
5513,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
5514,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
5515,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
5516,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
5517,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
5518,0,405,809,1214,1618,2023,2427,2832,3236,3641,4045,4450,4855,5259,5664,6068,6473,6877,7282,7686,8091,8495,8900,9305,9709,10114,10518,10923,11327,11732,12136,12541,12945,13350,13755,14159
5519,0,641,1282,1923,2564,3205,3845,4486,5127,5768,6409,7050,7691,8332,8973,9614,10255,10895,11536,12177,12818,13459,14100,14741,15382,16023,16664,17305,17945,18586,19227,19868,20509,21150,21791,22432
5520,0,641,1282,1923,2564,3205,3845,4486,5127,5768,6409,7050,7691,8332,8973,9614,10255,10895,11536,12177,12818,13459,14100,14741,15382,16023,16664,17305,17945,18586,19227,19868,20509,21150,21791,22432
5521,0,641,1282,1923,2564,3205,3845,4486,5127,5768,6409,7050,7691,8332,8973,9614,10255,10895,11536,12177,12818,13459,14100,14741,15382,16023,16664,17305,17945,18586,19227,19868,20509,21150,21791,22432
5522,0,641,1282,1923,2564,3205,3845,4486,5127,5768,6409,7050,7691,8332,8973,9614,10255,10895,11536,12177,12818,13459,14100,14741,15382,16023,16664,17305,17945,18586,19227,19868,20509,21150,21791,22432
5523,0,641,1282,1923,2564,3205,3845,4486,5127,5768,6409,7050,7691,8332,8973,9614,10255,10895,11536,12177,12818,13459,14100,14741,15382,16023,16664,17305,17945,18586,19227,19868,20509,21150,21791,22432
5524,0,641,1282,1923,2564,3205,3845,4486,5127,5768,6409,7050,7691,8332,8973,9614,10255,10895,11536,12177,12818,13459,14100,14741,15382,16023,16664,17305,17945,18586,19227,19868,20509,21150,21791,22432
5525,0,641,1282,1923,2564,3205,3845,4486,5127,5768,6409,7050,7691,8332,8973,9614,10255,10895,11536,12177,12818,13459,14100,14741,15382,16023,16664,17305,17945,18586,19227,19868,20509,21150,21791,22432
5526,0,355,709,1064,1418,1773,2127,2482,2836,3191,3545,3900,4255,4609,4964,5318,5673,6027,6382,6736,7091,7445,7800,8155,8509,8864,9218,9573,9927,10282,10636,10991,11345,11700,12055,12409
5527,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
5528,0,355,709,1064,1418,1773,2127,2482,2836,3191,3545,3900,4255,4609,4964,5318,5673,6027,6382,6736,7091,7445,7800,8155,8509,8864,9218,9573,9927,10282,10636,10991,11345,11700,12055,12409
5529,0,641,1282,1923,2564,3205,3845,4486,5127,5768,6409,7050,7691,8332,8973,9614,10255,10895,11536,12177,12818,13459,14100,14741,15382,16023,16664,17305,17945,18586,19227,19868,20509,21150,21791,22432
5530,0,641,1282,1923,2564,3205,3845,4486,5127,5768,6409,7050,7691,8332,8973,9614,10255,10895,11536,12177,12818,13459,14100,14741,15382,16023,16664,17305,17945,18586,19227,19868,20509,21150,21791,22432
5531,0,386,773,1159,1545,1932,2318,2705,3091,3477,3864,4250,4636,5023,5409,5795,6182,6568,6955,7341,7727,8114,8500,8886,9273,9659,10045,10432,10818,11205,11591,11977,12364,12750,13136,13523
5532,0,386,773,1159,1545,1932,2318,2705,3091,3477,3864,4250,4636,5023,5409,5795,6182,6568,6955,7341,7727,8114,8500,8886,9273,9659,10045,10432,10818,11205,11591,11977,12364,12750,13136,13523
5533,0,386,773,1159,1545,1932,2318,2705,3091,3477,3864,4250,4636,5023,5409,5795,6182,6568,6955,7341,7727,8114,8500,8886,9273,9659,10045,10432,10818,11205,11591,11977,12364,12750,13136,13523
5534,0,386,773,1159,1545,1932,2318,2705,3091,3477,3864,4250,4636,5023,5409,5795,6182,6568,6955,7341,7727,8114,8500,8886,9273,9659,10045,10432,10818,11205,11591,11977,12364,12750,13136,13523
5535,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
5536,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
5537,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
5538,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
5539,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
5540,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
5541,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
5542,0,405,809,1214,1618,2023,2427,2832,3236,3641,4045,4450,4855,5259,5664,6068,6473,6877,7282,7686,8091,8495,8900,9305,9709,10114,10518,10923,11327,11732,12136,12541,12945,13350,13755,14159
5543,0,641,1282,1923,2564,3205,3845,4486,5127,5768,6409,7050,7691,8332,8973,9614,10255,10895,11536,12177,12818,13459,14100,14741,15382,16023,16664,17305,17945,18586,19227,19868,20509,21150,21791,22432
5544,0,641,1282,1923,2564,3205,3845,4486,5127,5768,6409,7050,7691,8332,8973,9614,10255,10895,11536,12177,12818,13459,14100,14741,15382,16023,16664,17305,17945,18586,19227,19868,20509,21150,21791,22432
5545,0,641,1282,1923,2564,3205,3845,4486,5127,5768,6409,7050,7691,8332,8973,9614,10255,10895,11536,12177,12818,13459,14100,14741,15382,16023,16664,17305,17945,18586,19227,19868,20509,21150,21791,22432
5546,0,641,1282,1923,2564,3205,3845,4486,5127,5768,6409,7050,7691,8332,8973,9614,10255,10895,11536,12177,12818,13459,14100,14741,15382,16023,16664,17305,17945,18586,19227,19868,20509,21150,21791,22432
5547,0,641,1282,1923,2564,3205,3845,4486,5127,5768,6409,7050,7691,8332,8973,9614,10255,10895,11536,12177,12818,13459,14100,14741,15382,16023,16664,17305,17945,18586,19227,19868,20509,21150,21791,22432
5548,0,641,1282,1923,2564,3205,3845,4486,5127,5768,6409,7050,7691,8332,8973,9614,10255,10895,11536,12177,12818,13459,14100,14741,15382,16023,16664,17305,17945,18586,19227,19868,20509,21150,21791,22432
5549,0,641,1282,1923,2564,3205,3845,4486,5127,5768,6409,7050,7691,8332,8973,9614,10255,10895,11536,12177,12818,13459,14100,14741,15382,16023,16664,17305,17945,18586,19227,19868,20509,21150,21791,22432
5550,0,355,709,1064,1418,1773,2127,2482,2836,3191,3545,3900,4255,4609,4964,5318,5673,6027,6382,6736,7091,7445,7800,8155,8509,8864,9218,9573,9927,10282,10636,10991,11345,11700,12055,12409
5551,0,23,45,68,91,114,136,159,182,205,227,250,273,295,318,341,364,386,409,432,455,477,500,523,545,568,591,614,636,659,682,705,727,750,773,795
5552,0,355,709,1064,1418,1773,2127,2482,2836,3191,3545,3900,4255,4609,4964,5318,5673,6027,6382,6736,7091,7445,7800,8155,8509,8864,9218,9573,9927,10282,10636,10991,11345,11700,12055,12409
5553,0,641,1282,1923,2564,3205,3845,4486,5127,5768,6409,7050,7691,8332,8973,9614,10255,10895,11536,12177,12818,13459,14100,14741,15382,16023,16664,17305,17945,18586,19227,19868,20509,21150,21791,22432
